Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0	0	137	0	4080	0	59.56	0.62	4.58	4.58	0	2.25	30.8
sda	0	0	106	0	2832	0	53.43	0.62	5.81	5.81	0	2.34	24.8
sda	1	2	35	2	896	16	49.3	0.31	8.32	7.2	28	3.89	14.4
sda	0	0	43	0	1264	0	58.79	0.26	5.95	5.95	0	3.16	13.6
sda	0	0	147	0	4320	0	58.78	1.34	9.14	9.14	0	2.59	38
sda	0	0	107	0	3120	0	58.32	0.31	2.88	2.88	0	2.06	22
sda	0	0	133	0	3952	0	59.43	0.58	4.39	4.39	0	1.86	24.8
sda	0	2	106	2	3296	16	61.33	0.55	5.07	4.87	16	2.44	26.4
sda	0	0	92	1	2672	20	57.89	0.69	7.4	7.48	0	3.31	30.8
sda	0	0	62	0	2176	0	70.19	0.33	5.1	5.1	0	2.39	14.8
sda	0	0	107	0	3152	0	58.92	0.39	3.78	3.78	0	2.13	22.8
sda	0	0	101	0	2896	0	57.35	0.48	4.79	4.79	0	1.98	20
sda	0	3	79	2	2416	20	60.15	0.37	4.54	4	26	2.47	20
sda	0	0	86	0	3408	0	79.26	0.44	5.07	5.07	0	2.14	18.4
sda	0	0	98	0	3136	0	64	0.49	4.98	4.98	0	2.49	24.4
sda	0	0	81	0	2192	0	54.12	0.32	3.95	3.95	0	2.22	18
sda	0	0	61	0	2304	0	75.54	0.32	5.31	5.31	0	2.3	14
sda	0	2	50	2	2544	16	98.46	0.38	7.23	6.96	14	3.31	17.2
sda	0	0	73	0	2384	0	65.32	0.2	2.79	2.79	0	1.92	14
sda	0	0	62	0	1888	0	60.9	0.38	6.06	6.06	0	2.77	17.2
sda	0	0	78	0	2640	0	67.69	0.29	3.74	3.74	0	1.85	14.4
sda	0	0	67	0	1792	0	53.49	0.25	3.76	3.76	0	2.27	15.2
sda	0	2	69	2	2192	16	62.2	0.32	4.51	4.29	12	2.65	18.8
sda	0	0	75	6	2672	24	66.57	0.56	6.91	7.47	0	2.47	20
sda	0	0	70	0	1808	0	51.66	0.33	4.69	4.69	0	2.57	18
sda	0	0	63	0	2112	0	67.05	0.18	2.92	2.92	0	1.84	11.6
sda	0	0	93	0	2752	0	59.18	0.41	4.43	4.43	0	2.58	24
