Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0.00	0.00	74.00	0.00	3200.00	0.00	86.49	0.38	5.19	5.19	0.00	2.32	17.20
sda	0.00	0.00	55.00	0.00	1696.00	0.00	61.67	0.28	5.09	5.09	0.00	2.91	16.00
sda	0.00	3.00	82.00	2.00	2224.00	20.00	53.43	0.38	4.57	4.34	14.00	2.43	20.40
sda	0.00	0.00	99.00	0.00	2480.00	0.00	50.10	0.20	2.02	2.02	0.00	1.41	14.00
sda	0.00	0.00	114.00	0.00	3392.00	0.00	59.51	0.29	2.53	2.53	0.00	1.37	15.60
sda	0.00	0.00	72.00	0.00	2176.00	0.00	60.44	0.33	4.56	4.56	0.00	2.17	15.60
sda	0.00	0.00	59.00	0.00	2112.00	0.00	71.59	0.18	3.05	3.05	0.00	2.44	14.40
sda	1.00	2.00	62.00	2.00	1744.00	16.00	55.00	0.37	5.75	5.10	26.00	2.56	16.40
sda	0.00	0.00	35.00	0.00	1056.00	0.00	60.34	0.09	2.51	2.51	0.00	1.83	6.40
sda	0.00	0.00	75.00	9.00	1744.00	48.00	42.67	0.50	5.95	4.75	16.00	2.29	19.20
sda	0.00	0.00	75.00	0.00	2160.00	0.00	57.60	0.29	3.84	3.84	0.00	2.19	16.40
sda	0.00	0.00	109.00	0.00	2832.00	0.00	51.96	0.32	2.97	2.97	0.00	1.91	20.80
sda	0.00	10.00	109.00	2.00	2992.00	48.00	54.77	0.67	6.05	5.61	30.00	2.92	32.40
sda	0.00	0.00	147.00	0.00	4704.00	0.00	64.00	1.04	7.13	7.13	0.00	2.69	39.60
sda	0.00	0.00	127.00	0.00	3488.00	0.00	54.93	0.61	4.57	4.57	0.00	2.20	28.00
sda	0.00	0.00	190.00	0.00	4336.00	0.00	45.64	0.96	5.07	5.07	0.00	2.15	40.80
sda	0.00	0.00	165.00	0.00	4960.00	0.00	60.12	1.40	8.63	8.63	0.00	2.79	46.00
sda	0.00	2.00	163.00	2.00	5008.00	16.00	60.90	0.92	5.60	5.40	22.00	2.21	36.40
sda	0.00	0.00	126.00	0.00	3024.00	0.00	48.00	0.38	2.98	2.98	0.00	1.65	20.80
sda	0.00	0.00	172.00	0.00	4656.00	0.00	54.14	0.84	4.84	4.84	0.00	2.12	36.40
sda	0.00	0.00	147.00	0.00	3792.00	0.00	51.59	0.81	5.50	5.50	0.00	2.48	36.40
sda	0.00	0.00	144.00	0.00	4720.00	0.00	65.56	1.37	9.58	9.58	0.00	2.50	36.00
sda	0.00	0.00	93.00	0.00	3152.00	0.00	67.78	0.78	8.30	8.30	0.00	2.97	27.60
sda	0.00	2.00	107.00	2.00	2656.00	16.00	49.03	0.59	5.39	4.90	32.00	2.97	32.40
sda	0.00	0.00	117.00	0.00	3488.00	0.00	59.62	0.68	5.88	5.88	0.00	2.39	28.00
sda	0.00	0.00	115.00	0.00	3728.00	0.00	64.83	0.46	3.90	3.90	0.00	1.74	20.00
sda	0.00	0.00	121.00	0.00	3616.00	0.00	59.77	0.40	3.47	3.47	0.00	1.75	21.20
sda	0.00	0.00	110.00	0.00	3072.00	0.00	55.85	0.44	4.04	4.04	0.00	2.51	27.60
sda	0.00	2.00	67.00	2.00	2112.00	16.00	61.68	0.29	4.17	3.88	14.00	2.38	16.40
sda	0.00	0.00	77.00	1.00	2144.00	20.00	55.49	0.34	4.26	4.31	0.00	2.15	16.80
sda	0.00	0.00	109.00	0.00	3328.00	0.00	61.06	0.52	4.66	4.66	0.00	2.31	25.20
sda	0.00	0.00	78.00	0.00	2752.00	0.00	70.56	0.67	8.82	8.82	0.00	3.28	25.60
sda	0.00	0.00	67.00	0.00	2048.00	0.00	61.13	0.31	4.60	4.60	0.00	2.27	15.20
sda	0.00	3.00	100.00	2.00	3360.00	20.00	66.27	0.41	4.04	3.84	14.00	2.35	24.00
sda	0.00	0.00	93.00	0.00	2576.00	0.00	55.40	0.38	4.13	4.13	0.00	2.67	24.80
sda	0.00	0.00	84.00	0.00	2800.00	0.00	66.67	0.31	3.71	3.71	0.00	1.95	16.40
sda	0.00	0.00	53.00	0.00	1472.00	0.00	55.55	0.19	3.62	3.62	0.00	2.42	12.80
sda	0.00	0.00	84.00	0.00	2928.00	0.00	69.71	0.33	3.95	3.95	0.00	2.19	18.40
sda	0.00	3.00	71.00	2.00	2080.00	20.00	57.53	0.32	4.44	3.89	24.00	2.96	21.60
sda	0.00	0.00	67.00	0.00	2384.00	0.00	71.16	0.28	3.94	3.94	0.00	2.51	16.80
sda	0.00	0.00	92.00	0.00	1944.00	0.00	42.26	1.22	13.39	13.39	0.00	4.39	40.40
sda	0.00	0.00	89.00	0.00	3104.00	0.00	69.75	0.34	3.82	3.82	0.00	2.02	18.00
sda	0.00	0.00	70.00	0.00	1664.00	0.00	47.54	0.23	3.20	3.20	0.00	2.23	15.60
sda	0.00	11.00	118.00	2.00	3120.00	52.00	52.87	0.58	4.83	4.37	32.00	2.50	30.00
sda	0.00	2.00	116.00	18.00	2960.00	88.00	45.49	0.33	2.48	2.86	0.00	1.58	21.20
sda	0.00	0.00	165.00	0.00	4544.00	0.00	55.08	0.90	5.38	5.38	0.00	2.30	38.00
sda	0.00	0.00	185.00	0.00	5376.00	0.00	58.12	0.86	4.76	4.76	0.00	2.38	44.00
sda	0.00	0.00	163.00	0.00	4912.00	0.00	60.27	1.21	7.41	7.41	0.00	2.94	48.00
sda	0.00	8.00	152.00	2.00	4208.00	40.00	55.17	1.15	7.51	7.39	16.00	3.01	46.40
sda	0.00	0.00	147.00	0.00	4288.00	0.00	58.34	1.59	10.75	10.75	0.00	3.48	51.20
sda	0.00	0.00	160.00	0.00	5280.00	0.00	66.00	1.87	11.78	11.78	0.00	3.27	52.40
sda	0.00	0.00	137.00	0.00	4080.00	0.00	59.56	0.62	4.58	4.58	0.00	2.25	30.80
sda	0.00	0.00	106.00	0.00	2832.00	0.00	53.43	0.62	5.81	5.81	0.00	2.34	24.80
sda	1.00	2.00	35.00	2.00	896.00	16.00	49.30	0.31	8.32	7.20	28.00	3.89	14.40
sda	0.00	0.00	43.00	0.00	1264.00	0.00	58.79	0.26	5.95	5.95	0.00	3.16	13.60
sda	0.00	0.00	147.00	0.00	4320.00	0.00	58.78	1.34	9.14	9.14	0.00	2.59	38.00
sda	0.00	0.00	107.00	0.00	3120.00	0.00	58.32	0.31	2.88	2.88	0.00	2.06	22.00
sda	0.00	0.00	133.00	0.00	3952.00	0.00	59.43	0.58	4.39	4.39	0.00	1.86	24.80
sda	0.00	2.00	106.00	2.00	3296.00	16.00	61.33	0.55	5.07	4.87	16.00	2.44	26.40
sda	0.00	0.00	92.00	1.00	2672.00	20.00	57.89	0.69	7.40	7.48	0.00	3.31	30.80
sda	0.00	0.00	62.00	0.00	2176.00	0.00	70.19	0.33	5.10	5.10	0.00	2.39	14.80
sda	0.00	0.00	107.00	0.00	3152.00	0.00	58.92	0.39	3.78	3.78	0.00	2.13	22.80
sda	0.00	0.00	101.00	0.00	2896.00	0.00	57.35	0.48	4.79	4.79	0.00	1.98	20.00
sda	0.00	3.00	79.00	2.00	2416.00	20.00	60.15	0.37	4.54	4.00	26.00	2.47	20.00
sda	0.00	0.00	86.00	0.00	3408.00	0.00	79.26	0.44	5.07	5.07	0.00	2.14	18.40
sda	0.00	0.00	98.00	0.00	3136.00	0.00	64.00	0.49	4.98	4.98	0.00	2.49	24.40
sda	0.00	0.00	81.00	0.00	2192.00	0.00	54.12	0.32	3.95	3.95	0.00	2.22	18.00
sda	0.00	0.00	61.00	0.00	2304.00	0.00	75.54	0.32	5.31	5.31	0.00	2.30	14.00
sda	0.00	2.00	50.00	2.00	2544.00	16.00	98.46	0.38	7.23	6.96	14.00	3.31	17.20
sda	0.00	0.00	73.00	0.00	2384.00	0.00	65.32	0.20	2.79	2.79	0.00	1.92	14.00
sda	0.00	0.00	62.00	0.00	1888.00	0.00	60.90	0.38	6.06	6.06	0.00	2.77	17.20
sda	0.00	0.00	78.00	0.00	2640.00	0.00	67.69	0.29	3.74	3.74	0.00	1.85	14.40
sda	0.00	0.00	67.00	0.00	1792.00	0.00	53.49	0.25	3.76	3.76	0.00	2.27	15.20
sda	0.00	2.00	69.00	2.00	2192.00	16.00	62.20	0.32	4.51	4.29	12.00	2.65	18.80
sda	0.00	0.00	75.00	6.00	2672.00	24.00	66.57	0.56	6.91	7.47	0.00	2.47	20.00
sda	0.00	0.00	70.00	0.00	1808.00	0.00	51.66	0.33	4.69	4.69	0.00	2.57	18.00
sda	0.00	0.00	63.00	0.00	2112.00	0.00	67.05	0.18	2.92	2.92	0.00	1.84	11.60
sda	0.00	0.00	93.00	0.00	2752.00	0.00	59.18	0.41	4.43	4.43	0.00	2.58	24.00
sda	0.00	14.00	140.00	2.00	3840.00	64.00	54.99	0.90	6.37	6.17	20.00	2.76	39.20
sda	0.00	0.00	162.00	17.00	4448.00	80.00	50.59	1.57	8.76	8.32	12.94	2.68	48.00
sda	0.00	0.00	180.00	0.00	5136.00	0.00	57.07	1.00	5.53	5.53	0.00	2.62	47.20
sda	0.00	0.00	157.00	0.00	4944.00	0.00	62.98	1.92	12.23	12.23	0.00	3.36	52.80
sda	0.00	0.00	125.00	0.00	4400.00	0.00	70.40	0.60	4.77	4.77	0.00	2.46	30.80
sda	0.00	10.00	143.00	2.00	4032.00	48.00	56.28	1.24	7.89	7.69	22.00	3.09	44.80
sda	0.00	0.00	155.00	0.00	4720.00	0.00	60.90	1.00	7.07	7.07	0.00	2.45	38.00
sda	0.00	0.00	107.00	0.00	3152.00	0.00	58.92	1.00	9.23	9.23	0.00	3.03	32.40
sda	0.00	0.00	128.00	0.00	3664.00	0.00	57.25	0.76	6.03	6.03	0.00	2.84	36.40
sda	0.00	0.00	116.00	0.00	3632.00	0.00	62.62	0.57	4.93	4.93	0.00	2.14	24.80
sda	0.00	2.00	114.00	2.00	3280.00	16.00	56.83	0.61	5.24	4.81	30.00	2.48	28.80
